anio,dim1,dim1_val,dim2,dim2_val,valor,grupo,cuadro,csv
2024,cuadro 1,cuadro 1,Categoria,,2023.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,8218.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,3457.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,173.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,325.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,300.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,930.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,272.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,72.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,40.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,232.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,187.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,198.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,178.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,126.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,129.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,145.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,356.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,256.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,244.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,142.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,112.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,118.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,226.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,2024.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,8401.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,3408.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,182.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,366.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,299.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,1123.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,233.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,73.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,49.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,218.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,194.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,176.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,144.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,128.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,153.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,172.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,364.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,268.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,271.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,120.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,124.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,108.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 1,cuadro 1,Categoria,,228.0,hechos,1,PRPNC24_cuadro_1.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,1.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,2.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,3.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,4.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,5.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,6.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,7.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,8.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,9.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,10.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,11.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,12.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,13.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,14.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,15.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,16.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,17.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,18.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,19.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,20.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,21.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,22.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,23.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,24.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,25.0,hechos,10,PRPNC24_cuadro_10.csv
2024,cuadro 10,cuadro 10,Categoria,Dia de ocurrencia,26.0,hechos,10,PRPNC24_cuadro_10.csv
